name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Coronado Hills Fire ,San Marcos Fire Department,10/30/07 6:00,San Diego County ,250,100% contained - 250 acres,On Attebury to the south of Cal State San Marcos,10/22/07 1:46,10/22/07,1:46:00
Rangeland Fire,CAL FIRE San Diego Unit,1/4/19 9:21,San Diego County,250,250 acres - 100% contained,off Rangeland Road and Highway 78 in Ramona,8/9/18 13:09,8/9/18,13:09:00
Russel Complex ,CAL FIRE Lassen-Modoc Unit,7/28/10 19:00,Lassen County,250,250 acres - 100% contained,East of Straylor Lake ,7/25/10 13:25,7/25/10,13:25:00
Tobin Fire,US Forest Service - Plumas NF,10/6/16 17:15,Plumas County,248,248 acres and 100% contained **This is not a CAL FIRE incident.  Please click the link above for more information.,orth of Hwy 70 and west of Jackass Creek Road ,9/26/16 13:23,9/26/16,13:23:00
Sharp Fire,Angeles National Forest,8/13/13 23:45,San Bernardino County,243,243 acres - 100% contained***This is NOT a CAL FIRE incident. Click the link above for information from the Angeles National Forest.,Sheep canyon just south of Wrightwood,8/8/13 12:15,8/8/13,12:15:00
Christensen Fire,CAL FIRE Santa Clara Unit,5/28/15 10:30,Alameda County,242,242 acres - 100% contained,Christensen Rd and Burns Rd in the Altamont Pass area,5/28/15 17:00,5/28/15,17:00:00
Coal Fire,Shasta-Trinity National Forest,9/23/12 14:30,Shasta County,241,241 acres - 100% contained  **This was NOT A CAL FIRE incident. Click the link above for more information from the US Forest Service.,Interstate 5 near Gilman Road (#698) exit ,9/21/12 15:27,9/21/12,15:27:00
Power Fire ,CAL FIRE Shasta-Trinity Unit,9/4/12 20:00,Shasta County,240,240 acres - 100% contained,"Ivan Marx Rd, and Hwy. 299 west of Burney",9/1/12 13:45,9/1/12,13:45:00
Vasco Fire,CAL FIRE Santa Clara Unit,6/8/13 13:25,Alameda County,240,240 acres - 100% contained,"off Vasco Road & North Vasco Road, north of Livermore",6/8/13 10:16,6/8/13,10:16:00
Murphy Fire,CAL FIRE Fresno-Kings Unit,1/9/18 13:23,Fresno County,237,237 acres - 100% contained,"Hwy 33 & Shell Rd, north of Coalinga",9/19/17 19:47,9/19/17,19:47:00
PFE Fire,CAL FIRE/Placer County Fire,6/13/13 14:15,Placer County,237,237 acres - 100% contained,"PFE Road and Watt Avenue, West Roseville",6/13/13 11:28,6/13/13,11:28:00
Largo Fire,CAL FIRE Amador-El Dorado Unit,1/9/18 12:14,El Dorado County,236,236 acres - 100% contained,"South Shingle Rd at Michigan Bar Rd, northeast of Rancho Murieta",7/30/17 1:45,7/30/17,1:45:00
PV Fire,Los Angeles County Fire,8/29/09 12:50,Los Angeles County ,235,235 acres - 100% contained,Rancho Palos Verdes,8/27/09 20:02,8/27/09,20:02:00
Deer Complex,CAL FIRE Santa Clara Unit,1/9/18 11:48,Contra Costa County,231,231 acres - 100% contained,"Deer Valley Road & Marsh Creek Road, west of Brentwood",7/8/17 2:20,7/8/17,2:20:00
Cheney Fire ,CAL FIRE Lassen-Modac Unit,9/15/12 18:15,Lassen County,230,230 acres - 100% contained,"Cheney Creek Rd, Southwest of Susanville",9/13/12 13:15,9/13/12,13:15:00
Mendocino National Forest Lightning Complex,USFS - Mendocino National Forest,8/7/15 21:00,Mendocino County,227,227 acres - 100% contained ***This was not a CAL FIRE incident.  Check the link above for more information from the US Forest Service.***,throughout Mendocino National Forest,7/30/15 14:00,7/30/15,14:00:00
Daves Fire,Mendocino National Forest,6/17/13 9:00,Glenn County,226,226 acres - 100% contained **This was NOT a CAL FIRE incident. Click the link above for information from the USFS. ,15 miles northwest of Elk Creek off County Road 306,6/12/13 15:17,6/12/13,15:17:00
Arrow Fire,CAL FIRE San Luis Obispo Unit,1/9/18 9:57,San Luis Obispo County,225,225 acres and 100% contained,off of Soda Lake,5/15/17 13:58,5/15/17,13:58:00
Camp Fire,CAL FIRE San Luis Obispo Unit,1/9/18 10:03,San Luis Obispo County,225,225 acres - 100% contained,"off of Hwy 1 & Range Rd, northeast of San Luis Obispo ",5/18/17 8:48,5/18/17,8:48:00
Oak Fire,San Bernardino National Forest,7/26/06 7:00,Riverside,225,100% contained - 225 acres,"Red Mountain, Anza",7/23/06 1:00,7/23/06,1:00:00
Shasta Fire ,CDF Shasta-Trinity Unit,7/30/06 7:00,Shasta,225,100% contained - 225 acres,North of Shasta Lake City ,7/25/06 15:52,7/25/06,15:52:00
Tehama Fire,CAL FIRE Tehama-Glenn Unit,6/13/14 13:50,Tehama County,225,225 acres - 100% contained,"Rancho Tehama, southwest of Red Bluff",6/13/14 12:23,6/13/14,12:23:00
Pala Fire ,CAL FIRE San Diego Unit,8/31/11 19:00,San Diego County,223,223 acres - 100% contained,"Pala-Temecula Rd. and Moro Rd., north of Pala",8/29/11 10:30,8/29/11,10:30:00
Onyx Fire,Kern County Fire / Sequoia National Forest ,7/14/16 12:00,Kern County,221,221 acres - 100% contained,"off Coyote Trail & Rocky Hill, East of Onyx",7/13/16 17:08,7/13/16,17:08:00
306 Fire ,CAL FIRE Tehama-Glenn Unit,5/5/13 18:00,Glenn County,217,217 acres - 100% contained,2 miles south of the community of Elk Creek,5/1/13 19:00,5/1/13,19:00:00
Beaver Fire,CAL FIRE San Benito-Monterey Unit,1/4/19 10:07,San Benito County,215,215 acres - 100% contained,"off Coalinga Highway and Airline Highway, East of King City",6/12/18 15:06,6/12/18,15:06:00
Pacheco Fire,CAL FIRE Santa Clara Unit,9/10/15 18:50,Santa Clara County,215,215 acres - 100% contained,"off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir",9/9/15 15:58,9/9/15,15:58:00
Petersburg Fire,Klamath National Forest,1/4/19 9:56,Siskiyou County,215,215 acres - 100% contained ***This is not a CAL FIRE incident. Click the link for more information,Petersburg and Caribou Creek Rd 3 MI SW of Cecilville,7/1/18 18:13,7/1/18,18:13:00
Reservoir Fire ,CAL FIRE Sonoma-Lake-Napa Unit,6/28/16 20:00,Lake County,215,215 acres - 100% contained,"Near Indian Valley Reservoir, 7 miles Southwest of Leesville",6/26/16 16:00,6/26/16,16:00:00
Washington Fire,Vandenberg Air Force Base,9/27/16 14:00,Santa Barbara County,215,"215 acres - 100% contained **This is not a CAL FIRE incident.  For more information, click the link above.","off Washington Ave. and Airfield Rd, north of California Blvd ",9/22/16 14:20,9/22/16,14:20:00
241 Fire,Orange County Fire Authority,7/15/15 18:45,Orange County,214,214 acres - 100% contained,"Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)",7/13/15 10:47,7/13/15,10:47:00
Reliz Fire ,CAL FIRE San Benito-Monterey Unit,8/18/11 21:00,Monterey County,214,214 acres - 100% contained,West of King City off Monroe Canyon Rd.,8/16/11 15:30,8/16/11,15:30:00
Tassajara Fire,Los Padres National Forest,7/17/13 19:30,Monterey County,213,213 acres - 100% contained  *** This was not a CAL FIRE incident. Click the link above for information from the USFS. ***,"Tassajara Hot Springs, near the Zen Center",7/17/13 13:23,7/17/13,13:23:00
Grant Fire,CAL FIRE Santa Clara Unit,6/26/16 7:00,Alameda County,211,211 acres - 100% contained,"In the Altamont Pass, 10 miles east of Livermore",6/25/16 16:11,6/25/16,16:11:00
Mesa Fire,Santa Barnara County Fire Department,6/29/15 17:05,Santa Barbara County,211,211 acres - 100% contained **This was NOT a CAL FIRE Incident. Click this link for more information from Santa Barbara County Fire  ,off Burton Mesa Blvd in Lompoc,6/29/15 13:11,6/29/15,13:11:00
Bald Hill 3 Fire,Six Rivers National Forest,9/15/14 11:00,Humboldt County,210,210 acres - 100% contained***This was not a CAL FIRE incident. Click on the link above for more information.,1 mile northwest of Hoopa,9/12/14 15:00,9/12/14,15:00:00
Bodfish Fire,Kern County Fire Department,1/9/18 10:29,Kern County,206,206 acres - 100% contained,5 miles south of Lake Isabella,6/10/17 12:17,6/10/17,12:17:00
Cobblestone Fire,CAL FIRE Tuolumne-Calaveras Unit,6/24/11 18:50,Stanislaus County,206,206 acres - 100% contained,"Cobblestone Rd & Stoneyridge Rd, northeast of Oakdale",6/24/11 14:30,6/24/11,14:30:00
Walker Fire,Angeles National Forest,9/25/06 11:30,Los Angeles County,206,100% contained - 206 acres,"South of Placerita Canyon Road, east of Placerita State Park, northwest of Santa Clara Divide.",9/23/06 15:56,9/23/06,15:56:00
Buckeye Fire ,CAL FIRE Humboldt-Del Norte Unit,9/10/10 18:00,Humboldt County,205,205 acres - 100% contained,"on Buckeye Mountain, east of Petrolia",9/6/10 9:36,9/6/10,9:36:00
Eagle Fire,CAL FIRE / Riverside County Fire,1/9/18 11:44,Riverside County,205,205 acres - 100% contained,"Off Tin Mine Rd & La Sierra Ave, near Lake Mathews",7/4/17 16:55,7/4/17,16:55:00
Ribbon Fire,Bureau of Indian Affairs - CAL FIRE / Riverside County Fire,1/4/19 9:33,Riverside County,205,205 acres - 100% contained,Highway 74 and Ribbonwood Dr. near Pinyon,7/26/18 10:12,7/26/18,10:12:00
Dunnigan Fire,CAL FIRE Sonoma-Lake-Napa Unit,8/2/12 18:30,Yolo County,204,204 acres - 100% contained,"Off County Road 6, west of Dunnigan",8/2/12 15:01,8/2/12,15:01:00
SHU August Lightning Fires ,CAL FIRE Shasta-Trinity Unit,8/22/12 18:40,Shasta County,204,204 acres - 100% contained,East of Redding,8/18/12 10:50,8/18/12,10:50:00
 Soda Fire ,CAL FIRE Sonoma-Lake-Napa Unit,2/25/12 8:30,Napa County,200,200 acres - 100% Contained,"3200 block of Soda Canyon Road, north of Silverado Trail, northeast of Napa City",2/23/12 12:32,2/23/12,12:32:00
Argyle Fire ,CAL FIRE San Benito-Monterey Unit,8/29/11 9:00,Monterey County,200,200 acres - 100% contained ,"Argyle Rd. and Jolon Rd., Lockwood",8/27/11 13:51,8/27/11,13:51:00
Bear Fire,CAL FIRE Madera-Mariposa-Merced ,1/4/19 10:10,Merced County,200,200 acres - 100% contained,"Cunningham Road and Hwy 140, Planda",6/7/18 18:04,6/7/18,18:04:00
Cherry Fire,CAL FIRE Sonoma-Lake-Napa Unit,9/4/09 21:25,Solano County,200,200 acres - 100% contained. ,"Southwest of Vacaville, north of I-80",9/4/09 1:30,9/4/09,1:30:00
Creek Fire,CDF Riverside Unit/Riverside County Fire ,8/14/06 7:00,Riverside County,200,100% contained  - 200 acres,Hwy 111 and I-10,8/12/06 15:15,8/12/06,15:15:00
Felter Fire,CDF Santa Clara Unit,10/26/06 7:30,Santa Clara County,200,100% contained - 200 acres,Felter Rd & Calaveras Rd,10/25/06 14:30,10/25/06,14:30:00
Pines Fire ,USFS - Angeles National Forest ,8/4/15 8:15,Los Angeles County,200,200 acres - 100% contianed*** This wasnot a CAL FIRE incident. For more information use the link above. ,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,7/17/15 21:30,7/17/15,21:30:00
Range Fire,California National Guard,1/9/18 12:44,Alameda County,200,200 acres - 100% contained  ***This is not a CAL FIRE incident.,"Range Road and Cromwell Avenue, Camp Parks Dublin, National Guard Reserve Forces Training Center",8/22/17 14:00,8/22/17,14:00:00
Rose Fire,CAL FIRE / Riverside County Fire,1/9/18 12:15,Riverside County,200,200 acres - 100% contained,"Off Amorose St, in the community of Lake Elsinore",7/31/17 14:22,7/31/17,14:22:00
Shockey Fire ,CAL FIRE San Diego UnitÃ‚,10/14/08 19:00,San Diego County,200,200 acres - 100% contained,Near Shockey Truck Trail and Highway 94 ,10/14/08 14:45,10/14/08,14:45:00
Sierra Fire,San Bernardino National Forest/CAL FIRE San Bernardino Unit,9/30/13 8:30,San Bernardino County,200,200 acres - 100% contained***This was not a CAL FIRE incident.  Click the link above for information from the San Bernardino National Forest.,in the Cajon Pass west of I-15 near Glen Helen Road,9/24/13 15:51,9/24/13,15:51:00
Skeleton Fire,Mendocino National Forest,1/9/18 13:20,Lake County,200,200 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for information from Mendocino National Forest  ,"Skeleton Glade, 5 miles east of Lake Pillsbury ",9/12/17 14:36,9/12/17,14:36:00
Stephens Fire,Shasta-Trinity National Forest,3/2/15 9:00,Siskiyou County,200,200 acres - 100% contained **This was NOT a CAL FIRE Incident. Click this link for more information from the US Forest Service ,"Approx. 18 miles northeast of McCloud, just south of Horse Peak",2/24/15 12:15,2/24/15,12:15:00
Vina Fire,CAL FIRE Tehama-Glenn Unit,7/4/13 10:30,Tehama County,200,200 acres - 100% contained,"Tehama-Vina Rd and Sherman Rd, Los Molinos",7/4/13 7:30,7/4/13,7:30:00
Water Fire,Kern County Fire,1/4/19 9:06,Kern County,200,200 acres - 100% contained,"outhbound I-5, south of Grapevine Rd.",9/12/18 11:25,9/12/18,11:25:00
Collier Fire,CAL FIRE Santa Clara Unit,12/2/11 9:00,Contra Costa County,198,198 acres - 100% contained,"Collier Canyon Rd and Highland Rd, near San Ramon Valley",12/1/11 18:05,12/1/11,18:05:00
Flynn Fire ,CAL FIRE Mendocino Unit,10/4/12 18:15,Mendocino County,195,195 acres - 100% contained,"Flynn Creek Rd & Comptche Ukiah Rd, near the community Comptche",10/1/12 14:20,10/1/12,14:20:00
Paskenta Fire,CAL FIRE Tehama-Glenn Unit,7/19/13 15:00,Tehama County,195,195 acres - 100% contained,West of Corning,7/19/13 13:32,7/19/13,13:32:00
Vasco Fire,CAL FIRE Santa Clara Unit,7/30/15 16:00,Contra Costa County,195,195 acres - 100% contained,"Vasco Rd,  3 miles southwest of Byron",7/30/15 11:18,7/30/15,11:18:00
Tehama Fire,CAL FIRE Tehama-Glenn Unit,1/9/18 13:46,Tehama County,194,194 acres - 100% contained,"North Rim of the Mill Creek drainage, east of Los Molinos",10/26/17 20:00,10/26/17,20:00:00
Oak Fire ,CAL FIRE Siskiyou Unit,6/30/12 5:45,Siskiyou County,192,192 acres - 100% contained,"Oak Hill Lane, North of Fort Jones",6/28/12 14:50,6/28/12,14:50:00
Par Fire,CAL FIRE Butte Unit/Butte County Fire Department,1/4/19 9:56,Butte County,191,191 acres - 100% contained,"off Par Four Way and Highway 162, west of the City of Oroville ",7/4/18 13:30,7/4/18,13:30:00
Shoemaker Fire,US Forest Service - Angeles National Forest,12/12/14 14:00,Los Angeles County,190,190 acres - 100% contained  ***This is not a CAL FIRE incident. Click on the link above for more information.,"upper end of East Fork San Gabriel River, North of Glendora",8/14/14 12:48,8/14/14,12:48:00
Wasioja Fire,Santa Barbara County,1/9/18 10:07,Santa Barbara County,190,190 acres - 100% contained,"Wasioja Road and Hwy 166, east of New Cuyama ",5/20/17 17:54,5/20/17,17:54:00
Garza Fire,CAL FIRE/Riverside County Fire,8/23/11 7:30,Riverside County,189,189 acres - 100% containment,"Garza Rd & Yucca Rd near Good Hope, Northwest of Perris ",8/22/11 14:32,8/22/11,14:32:00
Big Fire,CAL FIRE Fresno County Fire,7/13/16 17:30,Fresno County,188,188 acres - 100% contained,"off Watts Valley Rd. & Big Springs Ln, east of Clovis",7/11/16 14:30,7/11/16,14:30:00
Bitterwater Fire,CAL FIRE San Luis Obispo Unit,5/2/11 18:00,San Luis Obispo County,187,187 acres - 100% Contained,"Bitterwater Road and Bitterwater Valley, 12 miles southeast of Shandon, north of California Valley",5/2/11 13:01,5/2/11,13:01:00
Peak Fire,Ventura County Fire Department,1/4/19 8:46,Ventura County,186,186 acres - 100% contained,"off Highway 118 and Rocky Peak Road, east of Simi Valley",11/12/18 10:06,11/12/18,10:06:00
Rustic Fire,Ventura County Fire Department,8/16/15 12:00,Ventura County,186,186 acres - 100% contained**This was not a CAL FIRE incident. Click the link above for more info.,Rustic Hills Drive in the Wood Ranch area Simi Valley,8/14/15 15:22,8/14/15,15:22:00
Toll Fire,Plumas National Forest,1/9/18 12:43,Plumas County,186,186 acres - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.,"Tollgate Creek and Oakland Camp Road, north of Quincy",8/20/17 16:26,8/20/17,16:26:00
Vista Fire,CAL FIRE Santa Clara Unit / Contra Costa County Fire,6/11/10 21:00,Contra Costa County,186,186 acres - 100% contained,East of Walnut Creek (Shell Ridge Recreation Area off Marshall Dr),6/11/10 16:10,6/11/10,16:10:00
Wild Fire,CAL FIRE Fresno Unit / Fresno County Fire,1/9/18 10:30,Fresno County,186,186 acres - 100% contained,"Jensen Ave at Ohio Ave, Mendota",6/11/17 10:46,6/11/17,10:46:00
Antelope Fire ,CAL FIRE San Luis Obispo Unit,10/27/10 8:00,San Luis Obispo County,185,185 acres - 100% contained,"North side of Hwy 46, 2 miles west of the Kern County Line near Antelope Grade. ",10/26/10 15:04,10/26/10,15:04:00
Dinosaur Fire,CAL FIRE Madera-Mariposa-Merced ,1/4/19 10:04,Merced County,185,185 acres - 100% contained,"off Dinosaur Road and Highway 152, Santa Nella",6/17/18 15:09,6/17/18,15:09:00
Fiddyment Fire,CAL FIRE / Placer County Fire ,6/14/12 15:30,Placer County,184,184 acres -100% contained,"Fiddyment Rd. and Athens Rd., Western Placer Co.",6/14/12 13:23,6/14/12,13:23:00
Rolling Fire,Kern County Fire,4/3/18 10:46,Kern County,184,184 acres - 100% contained,"Bena Road, east of Bakersfield",10/15/17 17:11,10/15/17,17:11:00
Quarry Fire,Kern County Fire Department,1/9/18 13:36,Kern County,183,183 acres - 100%,"off Hwy 223, east of Arvin ",10/12/17 10:42,10/12/17,10:42:00
Cooley Fire,CAL FIRE Siskiyou Unit ,7/14/15 8:30,Siskiyou County,181,181 acres - 100% contained,5 miles North of the community of Montague on Cooley Rd,7/13/15 17:56,7/13/15,17:56:00
Mariposa Fire,Santa Barbara County Fire,9/5/07 8:00,Santa Barbara County,176,100% contained - 176 acres Highway 101 and Mariposa Riena,Highway 101 and Mariposa Riena,9/3/07 20:00,9/3/07,20:00:00
Aliso Fire,Orange County Fire,1/4/19 10:19,Orange County,175,175 acres -  100% contained,"Aliso Woods Canyon Park, Community of Aliso Viejo",6/2/18 13:07,6/2/18,13:07:00
Grant Fire,CAL FIRE Santa Clara Unit,6/14/11 14:00,Alameda County,175,175 acres - 100% contained, Altamont Pass at I-580 and Grant Line Rd,6/14/11 22:20,6/14/11,22:20:00
Indian Fire,CAL FIRE Sonoma-Lake-Napa Unit,5/26/14 8:45,Lake County,175,175 acres - 100% contained,"Near Indian Valley Reservoir, East of Clearlake Oaks",5/25/14 12:20,5/25/14,12:20:00
Norco Fire,Norco Fire Department,9/23/09 9:00,Riverside County,175,175 acres - 100% contained,Crestview Drive near Ingalls,9/22/09 12:00,9/22/09,12:00:00
South Fire,Los Angeles County,1/4/19 10:08,Los Angeles County,175,175 acres - 100% contained  *** This is not a CAL FIRE incident. Click the link for more information.,"I-5 and Calgrove Blvd, Santa Clarita",6/9/18 14:45,6/9/18,14:45:00
Briggs Fire,CAL FIRE Riverside County Fire Unit,7/15/16 8:00,Riverside County,173,173 acres - 100% contained,off Briggs Rd & Louis Rd in Romoland,7/12/16 15:20,7/12/16,15:20:00
Ogilvy Fire,Los Padres National Forest,1/4/19 9:12,Santa Barbara County,172,172 acres - 100% contained *** This is not a CAL FIRE incident. Please click the link for more information.,"Pie Canyon Rd and Mono-Alamar Rd, NE of Gibraltar Reservoir",9/1/18 14:22,9/1/18,14:22:00
Wildcat Fire,CAL FIRE San Diego Unit,6/19/15 17:45,San Diego County,171,171 acres - 100% contained,"Wildcat Canyon Rd and Barona Rd, east of Fernbrook",6/17/15 17:03,6/17/15,17:03:00
